Circuit: * C:\Users\user\Documents\LTspiceXVII\file\Montecarlo\monte_SiC.asc
    86	47.9026	0	6.66667e-006
    87	47.8964	0	6.66667e-006
    88	47.8898	0	6.66667e-006
    89	47.8829	0	6.66667e-006
    90	47.8751	0	6.66667e-006
    91	47.8669	0	6.66667e-006
    92	47.8579	0	6.66667e-006
    93	47.8482	0	6.66667e-006
    94	47.8373	0	6.66667e-006
    95	47.8255	0	6.66667e-006
    96	47.8124	0	6.66667e-006
    97	47.7978	0	6.66667e-006
    98	47.7814	0	6.66667e-006
    99	47.7627	0	6.66667e-006
   100	47.7411	0	6.66667e-006
   101	47.716	0	6.66667e-006
   102	47.6862	0	6.66667e-006
   103	47.65	0	6.66667e-006
   104	47.6044	0	6.66667e-006
   105	47.5437	0	6.66667e-006
   106	47.4539	0	6.66667e-006
   107	46.1256	0	6.66667e-006
   108	42.9055	0	6.66667e-006
   109	38.9296	0	6.66667e-006
   110	34.4456	0	6.66667e-006
   111	30.1288	0	6.66667e-006
   112	26.0132	0	6.66667e-006
   113	22.1118	0	6.66667e-006
   114	18.4394	0	6.66667e-006
   115	15.0132	0	6.66667e-006
   116	11.8531	0	6.66667e-006
   117	8.98265	0	6.66667e-006
   118	6.43013	0	6.66667e-006
   119	4.22997	0	6.66667e-006
   120	2.42492	0	6.66667e-006
   121	1.06913	0	6.66667e-006
   122	0.232964	0	6.66667e-006
   123	47.9818	0	1e-005
   124	47.9799	0	1e-005
   125	47.978	0	1e-005
   126	47.9761	0	1e-005
   127	47.9738	0	1e-005
   128	47.9715	0	1e-005
   129	47.9692	0	1e-005
   130	47.9669	0	1e-005
   131	47.9644	0	1e-005
   132	47.9619	0	1e-005
   133	47.9593	0	1e-005
   134	47.9563	0	1e-005
   135	47.9533	0	1e-005
   136	47.9502	0	1e-005
   137	47.9469	0	1e-005
   138	47.9435	0	1e-005
   139	47.94	0	1e-005
   140	47.9361	0	1e-005
   141	47.9322	0	1e-005
   142	47.9279	0	1e-005
   143	47.9234	0	1e-005
   144	47.9187	0	1e-005
   145	47.9137	0	1e-005
   146	47.9083	0	1e-005
   147	47.9025	0	1e-005
   148	47.8965	0	1e-005
   149	47.8899	0	1e-005
   150	47.8828	0	1e-005
   151	47.8752	0	1e-005
   152	47.8669	0	1e-005
   153	47.858	0	1e-005
   154	47.8481	0	1e-005
   155	47.8374	0	1e-005
   156	47.8256	0	1e-005
   157	47.8124	0	1e-005
   158	47.7978	0	1e-005
   159	47.7814	0	1e-005
   160	47.7627	0	1e-005
   161	47.7411	0	1e-005
   162	47.716	0	1e-005
   163	47.6862	0	1e-005
   164	47.65	0	1e-005
   165	47.6044	0	1e-005
   166	47.5437	0	1e-005
   167	47.4546	0	1e-005
   168	47.0911	0	1e-005
   169	43.3221	0	1e-005
   170	38.9508	0	1e-005
   171	34.4458	0	1e-005
   172	30.1288	0	1e-005
   173	26.0132	0	1e-005
   174	22.1118	0	1e-005
   175	18.4394	0	1e-005
   176	15.0132	0	1e-005
   177	11.8531	0	1e-005
   178	8.98265	0	1e-005
   179	6.43013	0	1e-005
   180	4.22997	0	1e-005
   181	2.42492	0	1e-005
   182	1.06913	0	1e-005
   183	0.232964	0	1e-005
   184	47.9818	0	1.25e-005
   185	47.9801	0	1.25e-005
   186	47.9779	0	1.25e-005
   187	47.9759	0	1.25e-005
   188	47.9738	0	1.25e-005
   189	47.9715	0	1.25e-005
   190	47.9692	0	1.25e-005
   191	47.9669	0	1.25e-005
   192	47.9644	0	1.25e-005
   193	47.9618	0	1.25e-005
   194	47.9592	0	1.25e-005
   195	47.9563	0	1.25e-005
   196	47.9533	0	1.25e-005
   197	47.9503	0	1.25e-005
   198	47.947	0	1.25e-005
   199	47.9435	0	1.25e-005
   200	47.9399	0	1.25e-005
   201	47.9361	0	1.25e-005
   202	47.9321	0	1.25e-005
   203	47.928	0	1.25e-005
   204	47.9235	0	1.25e-005
   205	47.9186	0	1.25e-005
   206	47.9136	0	1.25e-005
   207	47.9083	0	1.25e-005
   208	47.9026	0	1.25e-005
   209	47.8965	0	1.25e-005
   210	47.8897	0	1.25e-005
   211	47.8829	0	1.25e-005
   212	47.8752	0	1.25e-005
   213	47.867	0	1.25e-005
   214	47.8579	0	1.25e-005
   215	47.8481	0	1.25e-005
   216	47.8374	0	1.25e-005
   217	47.8256	0	1.25e-005
   218	47.8124	0	1.25e-005
   219	47.7979	0	1.25e-005
   220	47.7815	0	1.25e-005
   221	47.7628	0	1.25e-005
   222	47.7412	0	1.25e-005
   223	47.7161	0	1.25e-005
   224	47.6862	0	1.25e-005
   225	47.65	0	1.25e-005
   226	47.6044	0	1.25e-005
   227	47.5438	0	1.25e-005
   228	47.4545	0	1.25e-005
   229	47.2727	0	1.25e-005
   230	43.4657	0	1.25e-005
   231	38.9523	0	1.25e-005
   232	34.4458	0	1.25e-005
   233	30.1288	0	1.25e-005
   234	26.0132	0	1.25e-005
   235	22.1118	0	1.25e-005
   236	18.4394	0	1.25e-005
   237	15.0132	0	1.25e-005
   238	11.8531	0	1.25e-005
   239	8.98265	0	1.25e-005
   240	6.43013	0	1.25e-005
   241	4.22997	0	1.25e-005
   242	2.42492	0	1.25e-005
   243	1.06913	0	1.25e-005
   244	0.232964	0	1.25e-005
   245	47.9818	0	1.66667e-005
   246	47.9799	0	1.66667e-005
   247	47.9781	0	1.66667e-005
   248	47.9759	0	1.66667e-005
   249	47.9738	0	1.66667e-005
   250	47.9715	0	1.66667e-005
   251	47.9692	0	1.66667e-005
   252	47.9669	0	1.66667e-005
   253	47.9644	0	1.66667e-005
   254	47.9618	0	1.66667e-005
   255	47.9591	0	1.66667e-005
   256	47.9564	0	1.66667e-005
   257	47.9533	0	1.66667e-005
   258	47.9502	0	1.66667e-005
   259	47.9469	0	1.66667e-005
   260	47.9436	0	1.66667e-005
   261	47.9399	0	1.66667e-005
   262	47.9361	0	1.66667e-005
   263	47.9321	0	1.66667e-005
   264	47.9279	0	1.66667e-005
   265	47.9235	0	1.66667e-005
   266	47.9186	0	1.66667e-005
   267	47.9137	0	1.66667e-005
   268	47.9084	0	1.66667e-005
   269	47.9024	0	1.66667e-005
   270	47.8963	0	1.66667e-005
   271	47.8897	0	1.66667e-005
   272	47.8828	0	1.66667e-005
   273	47.8752	0	1.66667e-005
   274	47.8669	0	1.66667e-005
   275	47.8579	0	1.66667e-005
   276	47.8482	0	1.66667e-005
   277	47.8376	0	1.66667e-005
   278	47.8255	0	1.66667e-005
   279	47.8125	0	1.66667e-005
   280	47.798	0	1.66667e-005
   281	47.7816	0	1.66667e-005
   282	47.7628	0	1.66667e-005
   283	47.7412	0	1.66667e-005
   284	47.716	0	1.66667e-005
   285	47.6863	0	1.66667e-005
   286	47.65	0	1.66667e-005
   287	47.6044	0	1.66667e-005
   288	47.5437	0	1.66667e-005
   289	47.4546	0	1.66667e-005
   290	47.2779	0	1.66667e-005
   291	43.5741	0	1.66667e-005
   292	38.9526	0	1.66667e-005
   293	34.4458	0	1.66667e-005
   294	30.1289	0	1.66667e-005
   295	26.0133	0	1.66667e-005
   296	22.1119	0	1.66667e-005
   297	18.4395	0	1.66667e-005
   298	15.0132	0	1.66667e-005
   299	11.8531	0	1.66667e-005
   300	8.98265	0	1.66667e-005
   301	6.43013	0	1.66667e-005
   302	4.22997	0	1.66667e-005
   303	2.42492	0	1.66667e-005
   304	1.06913	0	1.66667e-005
   305	0.232964	0	1.66667e-005

Measurement: tr1
  step	tr1	FROM	TO
     1	2.76495e-008	1.01518e-006	1.04283e-006
     2	2.83111e-008	1.0157e-006	1.04401e-006
     3	2.91766e-008	1.01621e-006	1.04539e-006
     4	3.00882e-008	1.01674e-006	1.04683e-006
     5	3.1e-008	1.01731e-006	1.04831e-006
     6	3.19752e-008	1.01822e-006	1.0502e-006
     7	3.24618e-008	1.01916e-006	1.05162e-006
     8	3.3395e-008	1.02011e-006	1.0535e-006
     9	3.44218e-008	1.02073e-006	1.05515e-006
    10	3.54458e-008	1.02133e-006	1.05678e-006
    11	3.65882e-008	1.02196e-006	1.05854e-006
    12	3.82441e-008	1.02269e-006	1.06094e-006
    13	3.91202e-008	1.02366e-006	1.06278e-006
    14	4.05129e-008	1.02476e-006	1.06528e-006
    15	4.1728e-008	1.02572e-006	1.06745e-006
    16	4.32164e-008	1.02643e-006	1.06965e-006
    17	4.49013e-008	1.02719e-006	1.07209e-006
    18	4.69667e-008	1.02806e-006	1.07502e-006
    19	4.90233e-008	1.02904e-006	1.07806e-006
    20	5.07392e-008	1.03039e-006	1.08113e-006
    21	5.30049e-008	1.03136e-006	1.08436e-006
    22	5.54742e-008	1.03223e-006	1.08771e-006
    23	5.83114e-008	1.03323e-006	1.09154e-006
    24	6.12639e-008	1.03438e-006	1.09564e-006
    25	6.42369e-008	1.03571e-006	1.09995e-006
    26	6.77424e-008	1.0369e-006	1.10464e-006
    27	7.16726e-008	1.038e-006	1.10967e-006
    28	7.59383e-008	1.03926e-006	1.11519e-006
    29	8.04374e-008	1.04075e-006	1.12119e-006
    30	8.56668e-008	1.0421e-006	1.12777e-006
    31	9.15168e-008	1.04341e-006	1.13492e-006
    32	9.79667e-008	1.04492e-006	1.14288e-006
    33	1.0521e-007	1.04655e-006	1.15176e-006
    34	1.13687e-007	1.04809e-006	1.16178e-006
    35	1.23182e-007	1.04975e-006	1.17293e-006
    36	1.34307e-007	1.05157e-006	1.18588e-006
    37	1.474e-007	1.05336e-006	1.20076e-006
    38	1.62877e-007	1.05533e-006	1.21821e-006
    39	1.81567e-007	1.05736e-006	1.23893e-006
    40	2.04673e-007	1.05951e-006	1.26419e-006
    41	2.33702e-007	1.06182e-006	1.29552e-006
    42	2.71861e-007	1.06425e-006	1.33611e-006
    43	3.24213e-007	1.06688e-006	1.39109e-006
    44	4.0033e-007	1.06967e-006	1.47e-006
    45	5.18892e-007	1.07269e-006	1.59158e-006
    46	4.56593e-007	1.07544e-006	1.53204e-006
    47	3.86478e-007	1.07818e-006	1.46465e-006
    48	3.4916e-007	1.08087e-006	1.43004e-006
    49	3.00999e-007	1.08346e-006	1.38446e-006
    50	2.69078e-007	1.08624e-006	1.35532e-006
    51	2.46074e-007	1.08927e-006	1.33534e-006
    52	2.27801e-007	1.0926e-006	1.3204e-006
    53	2.12358e-007	1.09631e-006	1.30866e-006
    54	1.98801e-007	1.10047e-006	1.29927e-006
    55	1.86141e-007	1.10521e-006	1.29136e-006
    56	1.74069e-007	1.11071e-006	1.28477e-006
    57	1.62197e-007	1.11724e-006	1.27944e-006
    58	1.50092e-007	1.12531e-006	1.2754e-006
    59	1.37932e-007	1.13537e-006	1.2733e-006
    60	1.30884e-007	1.14377e-006	1.27465e-006
    61	1.40955e-007	1.13954e-006	1.28049e-006
    62	2.80772e-008	1.3485e-006	1.37658e-006
    63	2.91111e-008	1.34899e-006	1.3781e-006
    64	3.01029e-008	1.34946e-006	1.37956e-006
    65	3.04582e-008	1.3504e-006	1.38086e-006
    66	3.06794e-008	1.35126e-006	1.38194e-006
    67	3.16599e-008	1.35181e-006	1.38347e-006
    68	3.2504e-008	1.35236e-006	1.38486e-006
    69	3.39793e-008	1.35291e-006	1.38689e-006
    70	3.51864e-008	1.35369e-006	1.38887e-006
    71	3.61248e-008	1.35438e-006	1.39051e-006
    72	3.76625e-008	1.35491e-006	1.39257e-006
    73	3.85467e-008	1.35588e-006	1.39443e-006
    74	3.99481e-008	1.35693e-006	1.39688e-006
    75	4.06769e-008	1.35803e-006	1.39871e-006
    76	4.19293e-008	1.3589e-006	1.40083e-006
    77	4.32084e-008	1.35959e-006	1.4028e-006
    78	4.51754e-008	1.36029e-006	1.40547e-006
    79	4.72851e-008	1.36102e-006	1.40831e-006
    80	4.95856e-008	1.36186e-006	1.41145e-006
    81	5.14442e-008	1.36309e-006	1.41454e-006
    82	5.35219e-008	1.36439e-006	1.41791e-006
    83	5.55981e-008	1.36572e-006	1.42132e-006
    84	5.82986e-008	1.36659e-006	1.42489e-006
    85	6.13945e-008	1.36746e-006	1.42885e-006
    86	6.47792e-008	1.36842e-006	1.4332e-006
    87	6.85047e-008	1.36954e-006	1.43805e-006
    88	7.20724e-008	1.37099e-006	1.44307e-006
    89	7.59128e-008	1.37269e-006	1.4486e-006
    90	8.0748e-008	1.37385e-006	1.4546e-006
    91	8.6028e-008	1.37497e-006	1.46099e-006
    92	9.2008e-008	1.37627e-006	1.46828e-006
    93	9.84441e-008	1.37778e-006	1.47622e-006
    94	1.0558e-007	1.37953e-006	1.48511e-006
    95	1.13842e-007	1.38123e-006	1.49507e-006
    96	1.23602e-007	1.38272e-006	1.50633e-006
    97	1.34624e-007	1.38446e-006	1.51908e-006
    98	1.47527e-007	1.38653e-006	1.53405e-006
    99	1.62987e-007	1.38847e-006	1.55146e-006
   100	1.81752e-007	1.3904e-006	1.57215e-006
   101	2.04606e-007	1.39265e-006	1.59725e-006
   102	2.33815e-007	1.395e-006	1.62882e-006
   103	2.71912e-007	1.39741e-006	1.66932e-006
   104	3.24017e-007	1.4001e-006	1.72412e-006
   105	4.00131e-007	1.40287e-006	1.803e-006
   106	5.24548e-007	1.40593e-006	1.93048e-006
   107	5.59342e-007	1.40888e-006	1.96822e-006
   108	4.17855e-007	1.41151e-006	1.82937e-006
   109	3.52662e-007	1.41413e-006	1.76679e-006
   110	3.01297e-007	1.41665e-006	1.71795e-006
   111	2.69081e-007	1.41947e-006	1.68855e-006
   112	2.46106e-007	1.42244e-006	1.66855e-006
   113	2.27896e-007	1.4258e-006	1.6537e-006
   114	2.12441e-007	1.42944e-006	1.64188e-006
   115	1.98766e-007	1.43362e-006	1.63239e-006
   116	1.86231e-007	1.43832e-006	1.62455e-006
   117	1.74273e-007	1.44374e-006	1.61801e-006
   118	1.62426e-007	1.45024e-006	1.61266e-006
   119	1.50242e-007	1.45835e-006	1.60859e-006
   120	1.38525e-007	1.46797e-006	1.60649e-006
   121	1.31054e-007	1.47675e-006	1.60781e-006
   122	1.40911e-007	1.47253e-006	1.61344e-006
   123	2.76427e-008	2.01502e-006	2.04266e-006
   124	2.89128e-008	2.01564e-006	2.04455e-006
   125	2.92268e-008	2.0164e-006	2.04563e-006
   126	2.99343e-008	2.01722e-006	2.04716e-006
   127	3.07656e-008	2.01802e-006	2.04878e-006
   128	3.15931e-008	2.01869e-006	2.05029e-006
   129	3.25678e-008	2.0194e-006	2.05197e-006
   130	3.36258e-008	2.01997e-006	2.0536e-006
   131	3.55471e-008	2.02005e-006	2.0556e-006
   132	3.67715e-008	2.02109e-006	2.05787e-006
   133	3.70608e-008	2.02218e-006	2.05925e-006
   134	3.80409e-008	2.02303e-006	2.06107e-006
   135	3.95758e-008	2.02365e-006	2.06323e-006
   136	4.10585e-008	2.02427e-006	2.06533e-006
   137	4.23092e-008	2.02517e-006	2.06748e-006
   138	4.41206e-008	2.02608e-006	2.0702e-006
   139	4.60104e-008	2.02702e-006	2.07303e-006
   140	4.78605e-008	2.02792e-006	2.07578e-006
   141	4.98656e-008	2.02874e-006	2.0786e-006
   142	5.21688e-008	2.02901e-006	2.08118e-006
   143	5.45743e-008	2.03027e-006	2.08484e-006
   144	5.66112e-008	2.03162e-006	2.08823e-006
   145	5.88865e-008	2.03302e-006	2.0919e-006
   146	6.15454e-008	2.03421e-006	2.09575e-006
